distance (mi),altitude (ft)
0,5795.4
0.01,5797.3
0.042,5804.3
0.044,5805
0.075,5815.7
0.086,5819.1
0.091,5820.7
0.101,5824.4
0.114,5827.5
0.147,5829.3
0.155,5830.8
0.161,5832.2
0.174,5835.1
0.179,5836.2
0.185,5837.7
0.191,5838.8
0.222,5848.2
0.229,5848.3
0.238,5848.8
0.242,5849.6
0.247,5848.9
0.255,5847.5
0.258,5847.2
0.264,5846.2
0.27,5845.4
0.278,5843.3
0.282,5842.5
0.293,5839.4
0.298,5838
0.304,5836.3
0.313,5837.2
0.317,5838.5
0.321,5838.9
0.327,5841
0.333,5842.9
0.341,5842.9
0.349,5843.5
0.354,5843.7
0.364,5843.7
0.37,5843.5
0.379,5843.7
0.385,5844.8
0.39,5845.7
0.396,5846.8
0.402,5848.1
0.409,5849.6
0.419,5852.4
0.428,5855.3
0.436,5858.3
0.443,5863.6
0.45,5868.9
0.453,5871.7
0.462,5878.7
0.472,5883
0.484,5884.7
0.492,5885.2
0.5,5885.8
0.513,5888
0.518,5889
0.523,5889.9
0.536,5891.6
0.548,5892.8
0.553,5893.4
0.564,5896.1
0.576,5900.3
0.591,5907.6
0.605,5916.8
0.618,5921.8
0.634,5925.3
0.648,5926
0.665,5927.8
0.682,5931.6
0.693,5933.8
0.716,5939.4
0.728,5947.7
0.749,5959.1
0.759,5962.8
0.764,5963.2
0.774,5964.8
0.78,5965.3
0.787,5966.9
0.8,5970.9
0.807,5974
0.812,5976.6
0.816,5979.1
0.82,5981.1
0.833,5984.6
0.839,5987
0.843,5987.5
0.854,5992.1
0.861,5994.2
0.872,5998.3
0.878,5998.8
0.886,5999.6
0.898,6004.4
0.909,6012.8
0.918,6018.3
0.926,6024.2
0.935,6034.1
0.945,6041.6
0.954,6049.1
0.958,6052.4
0.97,6050.4
0.979,6056.4
0.987,6061.2
0.997,6070.8
1.001,6075
1.01,6079.4
1.015,6084.2
1.022,6090.5
1.025,6092.6
1.027,6094.2
1.033,6097
1.044,6097.9
1.049,6100.4
1.054,6104.7
1.062,6105.1
1.073,6112.2
1.085,6124.7
1.098,6133.7
1.108,6140.3
1.116,6142
1.125,6140.7
1.13,6139.2
1.138,6142.1
1.146,6146.6
1.156,6153
1.17,6158.2
1.179,6163.3
1.19,6172.5
1.202,6186.7
1.208,6196.5
1.212,6199.1
1.219,6200.3
1.234,6207.4
1.252,6220.9
1.261,6227.7
1.272,6239.5
1.291,6256.3
1.306,6269
1.313,6270.9
1.326,6269.8
1.332,6266.9
1.337,6263.8
1.342,6263.7
1.348,6269.4
1.36,6278.8
1.363,6279.7
1.369,6276.3
1.375,6280.3
1.382,6290.4
1.394,6300.7
1.402,6304.6
1.411,6317.1
1.426,6331.3
1.435,6340.3
1.448,6344.5
1.456,6351.1
1.466,6353.1
1.478,6363.3
1.487,6373.3
1.5,6380.6
1.511,6389.2
1.53,6399.2
1.549,6418.2
1.56,6419.7
1.575,6433.9
1.584,6442.3
1.587,6441.3
1.593,6428.8
1.599,6435.6
1.604,6443
1.612,6447.4
1.621,6453.8
1.632,6472.5
1.638,6480.9
1.646,6477.3
1.655,6472.8
1.661,6461.7
1.668,6454.1
1.672,6454.5
1.679,6462.9
1.686,6457.9
1.697,6442.2
1.709,6451.9
1.718,6460.1
1.729,6466.2
1.743,6473.9
1.754,6482.9
1.772,6490
1.787,6495
1.799,6503.2
1.807,6506.2
1.819,6536.7
1.839,6573.3
1.857,6587
1.868,6596.6
1.874,6583.6
1.886,6583.9
1.898,6589.6
1.908,6585.8
1.921,6582.7
1.929,6579.2
1.938,6579.1
1.949,6579
1.955,6584.5
1.967,6596
1.98,6601.7
1.988,6601.5
1.991,6606.4
1.997,6612
2.01,6612.8
2.02,6614.8
2.034,6630.7
2.049,6638.1
2.064,6650.8
2.08,6652.7
2.097,6671.9
2.108,6688
2.126,6700.8
2.139,6706
2.155,6708.6
2.161,6716.8
2.175,6716.2
2.191,6731.2
2.199,6729.9
2.205,6725
2.209,6738.9
2.216,6743.9
2.222,6739
2.23,6742
2.24,6744.6
2.246,6758.9
2.267,6777.7
2.293,6804
2.308,6817.1
2.314,6824.2
2.331,6823.9
2.344,6828.6
2.354,6835.6
2.368,6849.2
2.383,6840.2
2.394,6842.2
2.413,6861.2
2.428,6887.2
2.431,6890.1
2.44,6877.2
2.443,6883.9
2.446,6893
2.459,6909
2.47,6908.8
2.483,6903.9
2.508,6916.8
2.526,6938.9
2.534,6932.6
2.542,6920.2
2.555,6928.9
2.567,6934.8
2.579,6933.8
2.587,6924.1
2.595,6920.7
2.598,6922.9
2.606,6938.7
2.617,6952.3
2.641,6959.9
2.659,6970.2
2.669,6983.6
2.685,7005.9
2.695,7014.3
2.702,7026.8
2.721,7041.7
2.738,7046
2.741,7046.7
2.756,7056.8
2.776,7078.2
2.786,7084.9
2.806,7084.5
2.823,7093.4
2.834,7100.4
2.85,7110.8
2.863,7116.2
2.873,7134
2.896,7147.7
2.917,7150.4
2.935,7166.5
2.95,7189.1
2.967,7213.1
2.991,7234.8
3.006,7267.9
3.019,7270.8
3.031,7249.5
3.034,7251.4
3.041,7272.2
3.054,7308
3.068,7336.9
3.072,7339.4
3.089,7313.5
3.103,7306
3.109,7307.1
3.112,7315.3
3.127,7333.7
3.148,7368.8
3.154,7377.2
3.167,7394.1
3.174,7385.3
3.186,7369
3.193,7373.5
3.201,7391.5
3.212,7406.3
3.23,7428.5
3.241,7440.8
3.25,7438.4
3.258,7450.3
3.27,7462.9
3.28,7444.3
3.291,7448.3
3.304,7450
3.309,7457.4
3.321,7483.2
3.334,7508.8
3.344,7520
3.357,7531.5
3.366,7543.3
3.369,7539.1
3.38,7546.1
3.39,7561.6
3.405,7576
3.417,7570.8
3.437,7580.7
3.455,7575.4
3.461,7577.7
3.477,7588.3
3.491,7610.4
3.506,7625.9
3.523,7638.4
3.539,7654.5
3.554,7662.9
3.563,7657.9
3.571,7655.1
3.581,7673.9
3.601,7691.1
3.615,7696.1
3.622,7703.8
3.644,7724.1
3.664,7729.1
3.677,7728.9
3.691,7728.1
3.705,7747.4
3.715,7766.2
3.723,7765.7
3.73,7780.9
3.741,7785.3
3.753,7792
3.761,7783.9
3.77,7797
3.784,7823.5
3.792,7826.7
3.809,7831.4
3.82,7833.9
3.834,7841.6
3.846,7846.7
3.852,7845.1
3.861,7847.7
3.874,7850.8
3.885,7854
3.897,7857.2
3.902,7858.8
3.909,7862.9
3.915,7863.7
3.93,7872.4
3.945,7880.2
3.958,7890.4
3.972,7900.5
3.989,7915.8
4.002,7930.3
4.017,7946.4
4.031,7963.7
4.038,7972.1
4.047,7983.8
4.063,8001.8
4.074,8010.6
4.092,8022.4
4.111,8037.2
4.133,8053.8
4.156,8064.3
4.184,8071.9
4.2,8077.9
4.217,8074.9
4.238,8059
4.246,8056.4
4.257,8052.7
4.263,8050.6
4.271,8049.5
4.284,8042.3
4.296,8034.1
4.315,8017.9
4.328,8005.7
4.343,7995
4.351,7986.7
4.357,7983.8
4.371,7975.1
4.385,7962.5
4.398,7951.7
4.413,7941.3
4.423,7939.6
4.44,7950.3
4.454,7970
4.468,7990
4.483,8002.9
4.502,8030.7
4.518,8043.5
4.541,8074.3
4.564,8099.5
4.576,8115.1
4.596,8140.7
4.613,8158.6
4.635,8181.3
4.646,8189.2
4.656,8196.6
4.67,8214.6
4.683,8225.3
4.703,8238.8
4.721,8249.6
4.737,8255.2
4.751,8265.1
4.772,8284.2
4.785,8288.2
4.806,8305.4
4.813,8317.1
4.825,8325.6
4.839,8333.6
4.847,8340.6
4.864,8349
4.882,8353.3
4.897,8351.8
4.905,8355.2
4.911,8359
4.919,8354.3
4.927,8346.5
4.934,8339.6
4.939,8335
4.948,8325
4.954,8316.7
4.958,8312.1
4.966,8305.1
4.976,8298.9
4.983,8290.5
4.998,8286.8
5.012,8292.3
5.025,8288.3
5.033,8289.1
5.047,8300.2
5.057,8303.7
5.065,8297
5.073,8296.8
5.088,8305.1
5.103,8320.2
5.115,8329.3
5.127,8339.7
5.145,8351.9
5.159,8349.8
5.169,8339.3
5.181,8326.4
5.195,8305.3
5.203,8295.3
5.217,8279.3
5.23,8272
5.244,8257.4
5.266,8257.3
5.285,8251.5
5.3,8254.3
5.32,8250.5
5.333,8256.5
5.346,8252.2
5.356,8249.1
5.366,8250.1
5.375,8247.7
5.393,8247.1
5.408,8248.1
5.418,8253.4
5.428,8250.5
5.44,8251.3
5.455,8253.1
5.477,8256.6
5.485,8257.1
5.502,8275
5.519,8297.1
5.53,8314.6
5.539,8320.4
5.554,8325
5.571,8330.8
5.583,8342.3
5.604,8361.1
5.618,8372
5.644,8374.5
5.656,8378.5
5.676,8378.6
5.696,8384.5
5.714,8389.2
5.731,8396.2
5.747,8404.7
5.758,8407.7
5.784,8414.8
5.808,8441.8
5.832,8461.3
5.853,8482.7
5.872,8492.4
5.882,8490.6
5.895,8493.5
5.912,8484.4
5.918,8474.6
5.935,8466
5.951,8456.7
5.964,8444.7
5.982,8434.4
5.997,8429.7
6.009,8426.1
6.017,8424.1
6.031,8426.3
6.049,8432.4
6.062,8439.5
6.087,8451
6.095,8452.1
6.103,8452.5
6.115,8456.2
6.127,8453.9
6.135,8448.6
6.142,8444.6
6.148,8442.8
6.161,8428
6.18,8406.8
6.194,8388.9
6.207,8374.4
6.219,8366.6
6.231,8362.4
6.249,8352.9
6.263,8348.3
6.272,8345.9
6.278,8345.8
6.287,8344.9
6.294,8345.7
6.304,8350.3
6.322,8358.3
6.338,8368.9
6.349,8378.6
6.372,8389.1
6.383,8383.1
6.387,8386.5
6.394,8396.6
6.404,8408.8
6.415,8425.7
6.427,8443.1
6.44,8464.9
6.449,8478.7
6.462,8496.4
6.472,8504.2
6.476,8503.3
6.484,8513.1
6.489,8515.4
6.493,8518.8
6.498,8522.8
6.506,8531.1
6.513,8534.9
6.534,8555.5
6.542,8560.9
6.554,8569.1
6.561,8574
6.568,8579.2
6.578,8584.4
6.585,8587.8
6.597,8590.3
6.603,8592.2
6.619,8597.6
6.63,8601.3
6.64,8601.9
6.644,8601.9
6.646,8602.3
6.651,8603.2
6.654,8603.5
6.657,8603.5
6.66,8603.7
6.668,8604.7
6.673,8605.4
6.676,8605.7
6.689,8605.9
6.698,8607.2
6.703,8606.5
6.708,8605.8
6.711,8605.4
6.716,8604.7
6.724,8603.7
6.728,8603.5
6.73,8603.5
6.734,8603.2
6.738,8602.3
6.74,8601.9
6.751,8602.7
6.758,8600.5
6.765,8599.8
6.776,8595.6
6.785,8591.2
6.798,8571.2
6.804,8561.5
6.821,8532.2
6.842,8492.2
6.862,8444.1
6.889,8377.7
6.92,8349.9
6.952,8343.2
6.967,8316
7,8279.7
7.036,8274.8
7.057,8294.5
7.091,8325.6
7.123,8317.5
7.139,8323.3
7.166,8316.2
7.176,8292
7.196,8300.6
7.216,8313.1
7.229,8333.1
7.243,8353
7.262,8353.6
7.279,8336.2
7.347,8255.7
7.404,8183.7
7.433,8169
7.444,8164.6
7.45,8162.2
7.471,8161.8
7.496,8168.7
7.526,8186.6
7.55,8197.8
7.574,8200.6
7.59,8201.2
7.61,8204.8
7.64,8197.8
7.664,8196.1
7.699,8193.1
7.724,8198.3
7.742,8195.9
7.75,8198.5
7.764,8212.4
7.785,8240.8
7.804,8254.9
7.822,8256.7
7.842,8271.9
7.859,8283.8
7.893,8305.7
7.913,8275.3
7.934,8250.7
7.959,8213.9
7.97,8198.5
7.981,8187.4
7.997,8180.2
8.037,8166.9
8.074,8178.5
8.093,8192.5
8.116,8202.2
8.132,8201.7
8.147,8205.2
8.186,8186.8
8.229,8133.9
8.255,8107.3
8.271,8104
8.275,8105.4
8.287,8104
8.292,8102.3
8.302,8104
8.32,8110.6
8.34,8098
8.361,8070.1
8.387,8033
8.405,8017.2
8.431,8016.6
8.444,8017.9
8.462,8019.8
8.474,8004.2
8.489,7980.4
8.503,7971.3
8.517,7953.1
8.532,7935.2
8.55,7909
8.562,7891.3
8.58,7863.9
8.595,7838.4
8.603,7828.4
8.613,7811.9
8.625,7795
8.633,7780.5
8.64,7770
8.652,7764.7
8.669,7747.7
8.686,7730.4
8.71,7699
8.724,7686.5
8.745,7657.7
8.765,7625.3
8.781,7606.8
8.797,7571.5
8.809,7552.8
8.817,7535.4
8.833,7507.2
8.836,7502.9
8.842,7492.7
8.851,7481.3
8.87,7458.2
8.882,7445.1
8.893,7433.9
8.904,7422.8
8.914,7417.9
8.93,7406.1
8.942,7397.2
8.95,7391.8
8.973,7376.3
8.985,7370.5
8.996,7364.2
9.01,7352.8
9.014,7348.2
9.031,7333.1
9.053,7320.4
9.071,7306.1
9.091,7287.7
9.113,7269.8
9.132,7253
9.146,7240.4
9.162,7223.5
9.173,7211.3
9.195,7191.5
9.216,7174.6
9.233,7166.5
9.252,7162.6
9.276,7162.3
9.286,7157.9
9.31,7151.9
9.33,7148.4
9.344,7143
9.354,7138.1
9.371,7131.1
9.385,7127.4
9.394,7123.1
9.414,7110.9
9.43,7099
9.437,7094.3
9.445,7089.3
9.457,7080
9.471,7068.2
9.48,7065.5
9.489,7060.4
9.498,7049.9
9.507,7041.4
9.519,7022.1
9.537,6997
9.541,6987.9
9.551,6980.2
9.559,6968.4
9.566,6960.8
9.577,6952.7
9.587,6958.6
9.603,6942.8
9.624,6937.7
9.641,6937.7
9.65,6930.5
9.669,6915.2
9.687,6892.3
9.699,6882.3
9.709,6877.3
9.722,6874.7
9.738,6859.1
9.755,6840.5
9.77,6815
9.786,6800.6
9.808,6788.8
9.816,6781.6
9.826,6771.2
9.836,6766.2
9.849,6764.2
9.855,6758.6
9.864,6755.5
9.878,6745.4
9.892,6733.2
9.906,6723
9.918,6717.7
9.93,6714.8
9.948,6711.7
9.966,6708.3
9.98,6708.8
10.019,6706.1
10.039,6701
10.065,6696.6
10.085,6685.7
10.098,6681.7
10.118,6672.5
10.135,6665.5
10.163,6656.6
10.185,6647.3
10.2,6643.2
10.224,6638.5
10.242,6635.1
10.261,6627.5
10.292,6617.3
10.312,6612.7
10.323,6607.7
10.342,6599.8
10.35,6597.8
10.377,6594.8
10.412,6588.7
10.436,6580.1
10.469,6566.6
10.483,6566
10.493,6566.9
10.503,6568.9
10.518,6570
10.533,6570
10.542,6564
10.55,6564
10.557,6558.7
10.566,6563.7
10.576,6563.4
10.584,6562.4
10.593,6561.5
10.612,6554.4
10.634,6550.9
10.652,6551.3
10.671,6550
10.688,6543.9
10.699,6532.7
10.725,6531.9
10.746,6521.5
10.769,6515.2
10.79,6511.8
10.807,6507
10.818,6504.4
10.836,6505.7
10.856,6494.7
10.866,6487.9
10.881,6477.1
10.899,6459.8
10.906,6458.3
10.92,6440.8
10.927,6432.3
10.935,6423
10.944,6414
10.953,6401.9
10.968,6395.3
10.983,6399.5
10.991,6397.4
11.008,6391.8
11.028,6385.7
11.038,6380.8
11.056,6379.8
11.076,6366.5
11.095,6349.9
11.109,6341
11.132,6337.9
11.148,6330.5
11.165,6326
11.18,6321.8
11.205,6320.6
11.227,6315.8
11.239,6310.3
11.262,6308.1
11.275,6317.1
11.295,6320
11.318,6310.8
11.332,6303
11.348,6285.3
11.362,6287.6
11.385,6277.8
11.395,6275.5
11.402,6274.3
11.419,6270.2
11.443,6267.5
11.454,6272
11.465,6268.6
11.482,6267
11.495,6263.9
11.513,6266
11.527,6266.4
11.54,6269.9
11.552,6276
11.576,6279.5
11.6,6286.3
11.613,6289.6
11.621,6293.2
11.638,6297.5
11.652,6299.5
11.675,6296.3
11.695,6300.5
11.704,6298.7
11.719,6289.7
11.74,6277.1
11.757,6269.5
11.769,6267.1
11.786,6261.4
11.8,6254.2
11.813,6247.8
11.824,6243.4
11.84,6232.6
11.849,6229.4
11.86,6229.4
11.87,6227.7
11.889,6223.8
11.906,6220.4
11.914,6217.9
11.915,6217.8
11.917,6218.2
11.927,6216.4
11.93,6216.9
11.936,6217.5
11.945,6219.6
11.956,6223.8
11.965,6227.8
11.975,6232
11.985,6237.7
11.997,6245.5
12.009,6251.5
12.017,6256.4
12.031,6264.5
12.041,6276.7
12.046,6282.1
12.063,6295.5
12.087,6317.6
12.096,6325
12.099,6327.3
12.109,6336.7
12.115,6341.3
12.124,6349.8
12.143,6363.8
12.151,6370.6
12.165,6380.4
12.179,6389.1
12.191,6396.6
12.208,6404.9
12.227,6409.5
12.246,6411.4
12.258,6415.6
12.273,6426.5
12.292,6443.1
12.307,6459
12.316,6469.6
12.324,6479.3
12.328,6485
12.339,6500.4
12.348,6514.4
12.362,6535.5
12.378,6562.3
12.388,6570.9
12.391,6576.8
12.414,6602.7
12.425,6608.3
12.437,6615.8
12.451,6635.3
12.461,6646.5
12.478,6655.7
12.488,6670.7
12.495,6669
12.507,6672.1
12.517,6671.9
12.533,6673.3
12.545,6678.6
12.553,6676.9
12.565,6687.1
12.573,6693
12.582,6696
12.601,6720.1
12.619,6725.5
12.645,6771.8
12.654,6783.4
12.659,6790.8
12.678,6783.7
12.685,6785.9
12.701,6779.8
12.713,6774.4
12.721,6779.5
12.727,6785
12.75,6799.9
12.772,6809.4
12.784,6811.3
12.795,6810.9
12.818,6823.1
12.835,6833.8
12.859,6854.7
12.871,6863.5
12.891,6876
12.917,6899.7
12.93,6912.2
12.945,6930
12.951,6931.7
12.957,6943.2
12.97,6954.6
12.986,6961
12.996,6970.8
13.018,6982.4
13.036,6994.9
13.05,7009.3
13.067,7015.8
13.086,7030.9
13.108,7055.4
13.123,7069.4
13.135,7080.5
13.147,7077.7
13.17,7083.8
13.188,7100
13.213,7125.5
13.246,7140.7
13.255,7144.5
13.268,7147.8
13.284,7156.3
13.297,7164.1
13.307,7163
13.328,7166.8
13.349,7166.3
13.374,7167.3
13.398,7164.3
13.417,7159.5
13.427,7162.1
13.448,7165.6
13.469,7169.4
13.487,7167.7
13.507,7159.7
13.522,7150.2
13.537,7149.5
13.552,7150.2
13.574,7148
13.6,7146.1
13.626,7146
13.654,7142.4
13.673,7143.2
13.698,7141.3
13.716,7136.5
13.747,7128.6
13.756,7125.6
13.764,7120.7
13.782,7110.2
13.813,7095.8
13.826,7095.5
13.837,7096.9
13.847,7098.5
13.863,7094.6
13.887,7090.6
13.91,7093.4
13.93,7086.1
13.951,7073.6
13.966,7065.6
13.975,7063.7
14.002,7053.2
14.014,7046.8
14.041,7040.3
14.051,7040.3
14.055,7037.9
14.07,7038.9
14.084,7032.1
14.097,7023.9
14.109,7011.8
14.142,6993.7
14.167,6979.1
14.184,6963.8
14.206,6937.5
14.225,6928.1
14.242,6916
14.255,6907
14.273,6892.4
14.29,6881.1
14.303,6871.7
14.321,6857.5
14.343,6840.2
14.357,6827.4
14.381,6806.4
14.412,6792
14.439,6762.9
14.456,6737.1
14.466,6726.3
14.474,6723.5
14.492,6722.3
14.504,6719
14.52,6705.9
14.538,6697.8
14.551,6681.2
14.56,6679.1
14.577,6666.3
14.596,6658.5
14.611,6651.3
14.62,6646.2
14.639,6634.5
14.664,6615.7
14.686,6588.5
14.701,6574.5
14.714,6567.9
14.738,6552.3
14.759,6541.4
14.772,6530.2
14.777,6528.1
14.788,6518.7
14.805,6511.2
14.826,6505.3
14.838,6501.6
14.855,6492.9
14.867,6491.8
14.88,6495.6
14.9,6492.7
14.919,6487.3
14.945,6481.3
14.973,6468.9
14.992,6454.6
15.012,6436.4
15.027,6428.5
15.04,6424.1
15.06,6420.8
15.082,6414.7
15.098,6412.4
15.116,6406.1
15.132,6400.7
15.158,6392.2
15.168,6388.3
15.191,6390.4
15.204,6389.5
15.218,6387.2
15.234,6378.2
15.252,6381.5
15.282,6384.4
15.312,6370.8
15.323,6373.4
15.338,6378
15.351,6382.9
15.372,6367.7
15.398,6354.7
15.424,6342.7
15.441,6343
15.451,6338.6
15.456,6338
15.469,6334.3
15.479,6329.6
15.499,6324.4
15.516,6321.3
15.535,6326.7
15.558,6335.9
15.58,6341.7
15.596,6338.7
15.612,6331
15.628,6327.8
15.651,6317.3
15.671,6310.2
15.686,6305.4
15.711,6299.3
15.735,6295
15.744,6293.5
15.745,6293.1
15.752,6290.7
15.758,6288.9
15.771,6287
15.799,6281.6
15.824,6273.1
15.837,6263.6
15.842,6260.6
15.848,6256.1
15.854,6252
15.864,6248.5
15.882,6246.2
15.902,6242.2
15.915,6246.5
15.926,6246.4
15.946,6248.5
15.955,6252
15.961,6256.1
15.967,6260.6
15.972,6263.6
15.985,6273.1
16.01,6281.6
16.039,6287
16.051,6288.9
16.057,6290.7
16.065,6293.1
16.066,6293.5
16.074,6295
16.098,6299.3
16.123,6305.4
16.138,6310.2
16.158,6317.3
16.181,6327.8
16.197,6331
16.213,6338.7
16.229,6341.7
16.252,6335.9
16.274,6326.7
16.293,6321.3
16.31,6324.4
16.33,6329.6
16.35,6331.1
16.375,6331.7
16.392,6334.5
16.418,6337.4
16.442,6331
16.456,6330.5
16.467,6334.7
16.496,6354.8
16.519,6359.6
16.547,6357.2
16.575,6358.1
16.593,6366.7
16.618,6388.2
16.654,6421.7
16.682,6426.6
16.714,6415
16.743,6417.9
16.775,6424.3
16.8,6428.6
16.825,6428.9
16.851,6435.3
16.866,6438
16.891,6429
16.922,6428
16.939,6444.5
16.96,6449.2
16.982,6453.7
16.995,6447.7
17.011,6438.4
17.026,6435.8
17.045,6441.7
17.059,6445.3
17.073,6449.8
17.102,6467.6
17.127,6478.2
17.153,6485.4
17.179,6492.4
17.202,6497.9
17.224,6499.3
17.24,6505.3
17.253,6511
17.269,6516.3
17.277,6520.9
17.287,6522.9
17.304,6528.1
17.32,6532.2
17.34,6536.5
17.355,6533
17.374,6532
17.382,6532.1
17.389,6543.1
17.413,6548.7
17.44,6556.7
17.46,6565.9
17.485,6583.5
17.506,6593.8
17.516,6586.5
17.532,6588.3
17.546,6614.4
17.56,6628.6
17.566,6636.3
17.587,6653.3
17.614,6680.8
17.625,6695.9
17.637,6699.8
17.643,6699.1
17.655,6702.9
17.682,6729.2
17.694,6730.6
17.72,6738.3
17.739,6745.6
17.756,6775.8
17.77,6795.4
17.788,6802.4
17.793,6813.6
17.798,6821
17.806,6827.9
17.827,6846
17.851,6858.4
17.865,6871.4
17.888,6902
17.901,6906.4
17.913,6922
17.923,6934.8
17.934,6952.2
17.939,6955.7
17.95,6959
17.96,6964.8
17.98,6972.2
17.983,6975.4
17.985,6979.2
17.992,6982.2
18.008,6985.2
18.019,6990.6
18.024,6995.6
18.029,7001.9
18.038,7006.8
18.05,7010.9
18.052,7011
18.057,7014.5
18.071,7019.7
18.085,7025.1
18.106,7035.2
18.122,7048.7
18.141,7057.3
18.148,7059.8
18.169,7098.5
18.187,7114.9
18.202,7138.3
18.211,7152.3
18.223,7154.2
18.226,7159.1
18.23,7164.9
18.235,7166.6
18.242,7169.2
18.256,7171.6
18.277,7175.1
18.3,7192.5
18.323,7202.7
18.344,7213.6
18.368,7224.9
18.395,7244.6
18.408,7245
18.432,7269.8
18.454,7289.3
18.48,7304.9
18.491,7310
18.504,7313.4
18.52,7324.3
18.535,7334.4
18.549,7343.9
18.572,7355.8
18.584,7364.1
18.605,7381.3
18.625,7395.9
18.655,7419.2
18.679,7433.1
18.701,7443.7
18.725,7459.7
18.75,7480.3
18.772,7493.4
18.799,7513.4
18.825,7532.8
18.843,7542.1
18.861,7565.3
18.866,7574.4
18.877,7578.7
18.889,7590.6
18.902,7606.2
18.921,7621
18.939,7639.5
18.958,7654
18.979,7666.6
18.996,7673.4
19.028,7683.1
19.051,7687.5
19.065,7684.6
19.09,7692.2
19.103,7689.3
19.118,7693.6
19.132,7685.8
19.159,7675.7
19.175,7687.7
19.187,7699.8
19.202,7709.7
19.219,7710.7
19.237,7701.2
19.246,7692.8
19.258,7682
19.272,7668.8
19.287,7673.1
19.299,7671.9
19.323,7673
19.338,7676.6
19.365,7686.2
19.374,7691.2
19.388,7692.5
19.398,7693.3
19.411,7692.1
19.43,7699.9
19.451,7702.8
19.485,7709.9
19.51,7712.1
19.533,7711.2
19.559,7721.4
19.576,7728.6
19.605,7749
19.628,7761.8
19.654,7765
19.676,7765.1
19.695,7763.5
19.724,7760.2
19.748,7747.9
19.772,7742.7
19.794,7735.2
19.815,7724.5
19.838,7722.1
19.854,7713.9
19.877,7702.6
19.894,7688.1
19.918,7677.1
19.941,7658.2
19.964,7649.7
19.989,7639.8
20.005,7644.2
20.019,7646.3
20.032,7643.7
20.065,7643
20.096,7637.6
20.13,7643.9
20.17,7653.7
20.195,7657.9
20.224,7663.7
20.26,7673.6
20.279,7679.9
20.305,7702.4
20.318,7715.2
20.331,7734.3
20.354,7753.2
20.369,7757.5
20.386,7757.2
20.409,7759.1
20.447,7765.7
20.479,7766.6
20.501,7762.1
20.522,7770.5
20.548,7766
20.572,7742.3
20.584,7741.3
20.603,7761
20.621,7759
20.64,7757
20.662,7742.2
20.689,7720.4
20.71,7724.4
20.727,7736.6
20.745,7768.6
20.768,7780
20.796,7794.3
20.82,7794.9
20.856,7787.5
20.87,7781
20.889,7786
20.908,7763.4
20.926,7763.5
20.936,7757.5
20.954,7754.9
20.971,7751.4
20.999,7752
21.024,7753.7
21.059,7764.2
21.09,7750
21.128,7752.2
21.156,7732.6
21.193,7714.1
21.202,7707.4
21.22,7698.3
21.237,7695.6
21.258,7713.3
21.284,7734.7
21.313,7741.9
21.345,7742.8
21.386,7738.7
21.414,7757.8
21.504,7865.2
21.523,7840.4
21.544,7834.3
21.585,7835
21.623,7841.3
21.691,7792.4
21.754,7680.6
21.786,7613.4
21.804,7643.8
21.832,7691.4
21.859,7727
21.871,7728.5
21.896,7722.6
21.924,7702.8
21.944,7695.6
21.973,7681.2
21.995,7666.4
22.02,7643.8
22.036,7644.5
22.053,7648.4
22.079,7641.1
22.1,7624
22.117,7600.7
22.131,7591.4
22.148,7586.8
22.154,7584.6
22.173,7571.5
22.198,7541.7
22.21,7531.4
22.221,7530.8
22.231,7528.2
22.243,7523.9
22.25,7527
22.256,7522
22.265,7510.3
22.278,7495.7
22.292,7487.7
22.316,7482.6
22.338,7481.9
22.356,7464.1
22.368,7452
22.389,7444
22.403,7446.6
22.411,7447.5
22.422,7447.3
22.441,7435.7
22.463,7435.8
22.496,7444.1
22.515,7454.5
22.537,7464.3
22.551,7461.3
22.581,7479.2
